CLASS,L1,L2,L3,L4,L5,L6
1, 2300, 4300, 6300, 8300, 10300, 12300 
2, 2070, 3870, 5670, 7470, 9270, 11070 
3, 2300, 4000, 5700, 7400, 9100, 10800 
4, 2070, 3600, 5130, 6660, 8190, 9720 
5, 1800, 3600, 5400, 7200, 9000, 10800 
6, 850, 1700, 2550, 3400, 4250, 5100 
7, 2050, 4100, 6150, 8200, 10250, 12300 
8, 1850, 3690, 5400, 7110, 8820, 10530 
9, 2050, 3750, 5450, 7150, 8850, 10550 
10, 1850, 3380, 4910, 6440, 7970, 9500 
11, 1600, 3200, 4800, 6400, 8000, 9600 
12, 1960, 3920, 5880, 7840, 9800, 11760 
13, 1770, 3530, 5300, 7060, 8820, 10590 
14, 770, 1570, 2370, 3140, 3930, 4710 
15, 910, 1860, 2810, 3730, 4660, 5590 
16, 810, 1650, 2490, 3300, 4130, 4950 
17, 950, 1950, 2950, 3920, 4900, 5880 
18, 1300, 2620, 3920, 5240, 6980, 8730 
19, 1450, 2940, 4410, 5880, 7840, 11760 
20, 1750, 3490, 5240, 6980, 8730, 10470 
21, 1960, 3920, 5880, 7840, 9800, 11760 
22, 1570, 3140, 4710, 6280, 7850, 9420 
23, 1570, 3140, 4710, 6280, 7850, 9420 
24, 1300, 3490, 5240, 6980, 8730, 10470 
25, 1450, 3920, 5880, 7840, 9800, 11760 
26, 1750, 3490, 5240, 6980, 8730, 10470 
27, 1960, 3920, 5880, 7840, 9800, 11760 
28, 1070, 2140, 3210, 4280, 5340, 6410 
29, 1250, 2500, 3740, 4990, 6230, 7480 
30, 770, 1570, 2370, 3140, 3930, 4710 
31, 910, 1860, 2810, 3730, 4660, 5590 
32, 810, 1650, 2490, 3300, 4130, 4950 
33, 950, 1950, 2950, 3920, 4900, 5880 
34, 1300, 3490, 5240, 6980, 8730, 10470 
35, 1450, 3920, 5880, 7840, 9800, 11760 
36, 1750, 3490, 5240, 6980, 8730, 10470 
37, 1960, 3920, 5880, 7840, 9800, 11760 
38, 1570, 3140, 4710, 6280, 7850, 9420 
39, 1570, 3140, 4710, 6280, 7850, 9420 
40, 1300, 3490, 5240, 6980, 8730, 10470 
41, 1450, 3920, 5880, 7840, 9800, 11760 
42, 1750, 3490, 5240, 6980, 8730, 10470 
43, 1960, 3920, 5880, 7840, 9800, 11760 
44, 1070, 2140, 3210, 4280, 5340, 6410 
45, 1250, 2500, 3740, 4990, 6230, 7480 
46, 770, 1570, 2370, 3140, 3930, 4710 
47, 910, 1860, 2810, 3730, 4660, 5590 
48, 810, 1650, 2490, 3300, 4130, 4950 
49, 950, 1950, 2950, 3920, 4900, 5880 
50, 1300, 3490, 5240, 6980, 8730, 10470 
51, 1450, 3920, 5880, 7840, 9800, 11760 
52, 1750, 3490, 5240, 6980, 8730, 10470 
53, 1960, 3920, 5880, 7840, 9800, 11760 
54, 1570, 3140, 4710, 6280, 7850, 9420 
55, 1570, 3140, 4710, 6280, 7850, 9420 
56, 1300, 3490, 5240, 6980, 8730, 10470 
57, 1450, 3920, 5880, 7840, 9800, 11760 
58, 1750, 3490, 5240, 6980, 8730, 10470 
59, 1960, 3920, 5880, 7840, 9800, 11760 
60, 1070, 2140, 3210, 4280, 5340, 6410 
61, 1250, 2500, 3740, 4990, 6230, 7480 
62, 770, 1570, 2370, 3140, 3930, 4710 
63, 810, 1650, 2490, 3300, 4130, 4950 
64, 860, 1760, 2660, 3530, 4410, 5300 
65, 910, 1860, 2810, 3730, 4660, 5590 
66, 810, 1650, 2490, 3300, 4130, 4950 
67, 850, 1740, 2630, 3490, 4360, 5230 
68, 900, 1850, 2790, 3710, 4640, 5570 
69, 950, 1950, 2950, 3920, 4900, 5880 
70, 1300, 3490, 5240, 6980, 8730, 10470 
71, 1450, 3920, 5880, 7840, 9800, 11760 
72, 1750, 3490, 5240, 6980, 8730, 10470 
73, 1960, 3920, 5880, 7840, 9800, 11760 
74, 1570, 3140, 4710, 6280, 7850, 9420 
75, 1570, 3140, 4710, 6280, 7850, 9420 
76, 1230, 3320, 4980, 6630, 8290, 9950 
77, 1660, 3320, 4980, 6630, 8290, 9950 
78, 1300, 3490, 5240, 6980, 8730, 10470 
79, 1450, 3920, 5880, 7840, 9800, 11760 
80, 1750, 3490, 5240, 6980, 8730, 10470
81, 1960, 3920, 5880, 7840, 9800, 11760 
82, 1070, 2140, 3210, 4280, 5340, 6410 
83, 1250, 2500, 3740, 4990, 6230, 7480 
84, 1200, 2200, 3000
85, 475, 975
86, 800, 1650, 2500
87, 850, 1750, 2650
88, 1150, 2300, 3500
89, 1200, 2450, 3750
90, 850, 1700, 2550
91, 900, 1850, 2800
92, 750, 1550
