origin	dest	capacity	length	fft	alpha	beta	speedLimit	LinkType	NMoto	NCar
17252	10118	5880	0.3	1.2	1.1507	3.7967	0	3	0	0
5003	5006	1300	4.13	4.13	0.8397	5.3445	0	5	0	0
5007	5008	1650	1.23	2.30625	1.5554	3.829	0	3	0	0
5009	10122	1570	0.54	2.16	3.76	3.29	0	5	0	0
5011	5001	1300	1.47	1.47	0.8397	5.3445	0	5	0	0
5012	8725	1570	2.17	2.604	3.76	3.29	0	3	0	0
5014	5015	1570	1.55	1.8599999999999999	3.76	3.29	0	3	0	0
5016	5014	1570	6.69	8.028	3.76	3.29	0	5	0	0
5018	5019	5670	1.861166	1.0737496153846156	0.885	4.8323	0	1	1	0
5020	10146	860	0.29	0.54375	1.5554	3.829	0	6	0	0
5022	5023	8300	1.197082	0.6906242307692307	0.885	4.8323	0	1	1	0
5024	5025	770	0.55	1.03125	1.5554	3.829	0	6	0	0
5026	5027	5670	0.586561	0.3384005769230769	0.885	4.8323	0	1	1	0
5028	5027	2070	0.500668	0.625835	1.001	4.7645	0	1	1	0
5029	5028	5240	0.26	0.26	0.8397	5.3445	0	3	0	0
5021	5024	1570	0.4	0.75	1.5554	3.829	0	6	0	0
5030	5031	910	0.48	0.7024390243902439	1.5577	3.6819	0	6	0	0
5032	5033	8300	1.89709	1.094475	0.885	4.8323	0	1	1	0
5030	5034	770	0.5	0.9375	1.5554	3.829	0	6	0	0
5038	5025	3920	0.41	0.41	0.8397	5.3445	0	3	0	0
5039	10145	910	0.64	0.9365853658536585	1.5577	3.6819	0	6	0	0
5042	10147	1570	12.46	14.952	3.76	3.29	0	5	0	0
5006	5043	1300	6.14	6.14	0.8397	5.3445	0	5	0	0
5043	7223	1300	3.73	3.73	0.8397	5.3445	0	5	0	0
5044	16696	3870	0.229508	0.13240846153846153	0.885	4.8323	0	1	1	0
5046	5047	1570	6.92	8.304	3.76	3.29	0	5	0	0
5039	10144	770	0.51	0.95625	1.5554	3.829	0	6	0	0
5049	5046	770	1.25	1.8292682926829267	1.5577	3.6819	0	5	0	0
5050	16693	3870	0.181224	0.1045523076923077	0.885	4.8323	0	1	1	0
5053	10160	1570	4.46	5.352	3.76	3.29	0	5	0	0
5054	15950	1570	3.23	3.8760000000000003	3.76	3.29	0	3	0	0
5055	5056	1950	0.43	0.6292682926829268	1.5577	3.6819	0	3	0	0
