tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
17252	10118	5880.0	0.3	4.5	4.5	0.0
5003	5006	1300.0	4.13	4.13	4.153025412222155	508.6821819848748
5007	5008	1650.0	1.23	2.30625	70.70516615084983	3563.30850941985
5009	10122	1570.0	0.54	8.100000000000001	8.100000000000001	0.0
5011	5001	1300.0	1.47	1.47	1.4700017705068673	104.85896150633397
5012	8725	1570.0	2.17	2.604	2.743709021614139	431.4452367943798
5014	5015	1570.0	1.55	1.8599999999999999	1.8600020022451444	16.10979692232897
5016	5014	1570.0	6.69	8.028	8.028	0.0
5018	5019	5670.0	1.861166	1.0737496153846156	1.0916188751633487	2491.4782981690164
5020	10146	860.0	0.29	0.54375	0.5440848881964578	111.1543912763165
5022	5023	7470.0	1.197082	0.6906242307692307	1.7148765021469787	8312.300789406576
5024	5025	770.0	0.55	1.03125	1.8301763648663991	641.8541060252899
5026	5027	5670.0	0.586561	0.3384005769230769	0.3640268769867079	3409.0609134314254
5028	5027	2070.0	0.500668	0.625835	0.6309988084667105	756.109548687497
5029	5028	5880.0	0.26	0.26	0.2601718641263712	1543.8665517924244
5021	5024	1570.0	0.4	0.75	1.8650468228195876	1551.5941896092663
5030	5031	910.0	0.48	0.7024390243902439	0.7098625276791224	234.46803334628873
5032	5033	7470.0	1.89709	1.094475	1.1421330420017992	4005.339827487279
5030	5034	770.0	0.5	0.9375	0.9375013759558333	20.555037999478238
5038	5025	3920.0	0.41	0.41	0.4198184880567505	2014.7881742310853
5039	10145	910.0	0.64	0.9365853658536585	0.943022794936682	208.61205905574255
5042	10147	1570.0	12.46	14.952	14.952010998582072	14.349163109656754
5006	5043	1300.0	6.14	6.14	6.174231484514293	508.6821819848748
5043	7223	1300.0	3.73	3.73	3.730000048138489	44.87484278553153
5044	16696	3870.0	0.229508	0.13240846153846153	0.13269061304719112	1111.3785868817445
5046	5047	1570.0	6.92	8.304	8.304	0.0
5039	10144	770.0	0.51	0.95625	0.9647143851835085	199.6288293039701
5049	5046	770.0	1.25	1.8292682926829267	1.8292682926829267	0.0
5050	16693	3870.0	0.181224	0.1045523076923077	0.1062407370149494	1689.9877320855921
5053	10160	1570.0	4.46	5.352	5.352	0.0
5054	15950	1570.0	3.23	3.8760000000000003	3.88445528022185	162.99646700184536
5055	5056	1950.0	0.43	0.6292682926829268	0.629303772099184	121.27482891558313
5057	5058	910.0	0.53	0.775609756097561	0.775609756097561	0.0
5059	15938	1950.0	0.13	0.1902439024390244	0.19140483799072316	432.81243642785626
5061	5062	910.0	0.39	0.5707317073170731	0.5754341543657342	219.1399349940927
5063	16684	8300.0	3.044577	1.7564867307692307	3.7437785725086066	8732.793532756597
5065	5066	4000.0	0.593473	0.6847765384615385	0.6847829257137927	398.8318767806541
5195	13980	1650.0	0.13	0.24375000000000002	0.3290274297726979	1117.5360248922707
5068	5171	4000.0	0.481766	0.5558838461538462	0.7264103279023123	3277.2098267709594
5070	5071	1570.0	8.52	10.224	10.225828708978451	76.21140887178822
5072	15952	910.0	1.09	1.5951219512195123	1.9319467248774918	528.8443292172182
5062	15939	770.0	0.23	0.33658536585365856	0.33985113719904925	193.8447358909454
5074	5075	1450.0	2.35	2.82	3.139099801659748	787.1594033011003
5074	17124	910.0	0.81	1.1853658536585365	1.3937333302476618	503.1525995887221
5077	10110	1570.0	0.92	1.104	1.2629281280141675	582.389977411009
5079	10380	3920.0	0.72	0.864	0.8996044241106325	1630.934090918329
5081	13954	1570.0	0.35	0.41999999999999993	0.4200123842878661	44.06115262395023
5083	5084	1570.0	9.97	11.964000000000002	11.964367048848228	44.59556114969336
5085	16681	8300.0	3.229111	1.862948653846154	3.706742372019274	8494.324133044223
5056	5087	910.0	0.48	0.7024390243902439	0.7477040505584004	383.1162476206136
5088	15964	1450.0	2.8	3.3599999999999994	6.2750050443360905	1346.0477021389365
5090	13977	1300.0	0.66	0.9658536585365853	2.033901762853838	1184.4814345987254
5081	13953	1570.0	0.33	0.396	0.3961211850854758	89.72441553487965
5092	13982	2490.0	0.23	0.43125	0.5756926575935366	1667.3811337347634
5156	15628	2940.0	0.15	0.18	0.18477541540772	1089.2424743466104
5096	34832	2950.0	0.17	0.20400000000000001	0.30599337754277856	2368.485384578522
5094	7642	1570.0	1.61	1.932	3.0825639219270755	896.7103253964433
5068	5100	8300.0	0.703132	0.4056530769230769	0.43398658531748746	4907.544680960488
5101	5066	8300.0	0.875246	0.5049496153846154	0.5049504658442442	543.5825355378355
5093	34844	1950.0	0.08	0.11707317073170731	0.12829815710488085	914.5233092248311
5104	10104	1450.0	0.88	1.056	1.3286102874848986	978.1557520872113
5106	10105	1450.0	0.69	0.828	0.9498031697827388	843.4819857547513
5059	15937	910.0	0.21	0.3073170731707317	0.3559371994000414	488.9614044676646
5108	5109	910.0	0.36	0.5268292682926828	0.5322779713419307	233.09708901201498
5133	5110	2700.0	1.119447	1.178365263157895	1.1860953906678096	620.4461507998021
5111	5112	8300.0	0.391504	0.22586769230769232	0.27747143637360316	6271.520763917399
5113	7529	2300.0	0.15491	0.17874230769230767	0.18055471309316595	944.7346350927522
5114	5115	1450.0	0.62	0.744	0.7521672270740556	425.8000923462429
5116	5117	1300.0	2.82	4.126829268292682	4.127739837875386	117.11620103451196
5112	26594	6300.0	2.661021	1.535204423076923	5.641807764633069	7920.441233066157
5119	5116	1300.0	0.95	1.3902439024390243	1.3905506546034103	117.11620103451196
11005	12979	8300.0	1.362054	0.7858003846153847	0.814223568298466	4282.759309210049
5119	10109	1450.0	0.72	0.864	0.864	0.0
16380	15926	910.0	1.28	1.873170731707317	1.90309627052857	262.31671129030445
5123	15899	910.0	0.1	0.14634146341463414	0.1463677181076905	77.50146835204347
5110	15931	910.0	0.29	0.42439024390243896	1.3365655946526414	993.1591042674205
5116	10108	1300.0	0.27	0.3951219512195122	0.3951219512195122	0.0
5115	5119	1450.0	0.29	0.348	0.34802842454604926	117.11620103451196
5107	15892	1860.0	0.08	0.11707317073170731	0.16066950975838618	1261.0044577603894
5127	10807	1950.0	0.62	0.9073170731707316	0.9114656220978077	400.1769131859837
5070	5130	3920.0	0.42	0.42	0.4200541886936974	758.1504185391493
5131	5130	910.0	0.91	1.092	1.160118372838013	422.2939578979232
5130	15948	1950.0	0.87	1.273170731707317	1.470112752494227	1041.3871153061423
5132	7531	770.0	0.307711	0.45030878048780487	0.45030921085831693	15.82257387659357
5056	5070	1950.0	0.72	1.0536585365853657	1.0645149951335005	498.98330643653793
5131	5099	910.0	0.32	0.384	0.384	0.0
5056	5057	910.0	0.1	0.14634146341463414	0.14634146341463414	0.0
5109	5061	910.0	0.3	0.4390243902439024	0.48847898226728986	445.87245207601416
5126	7530	910.0	0.28	0.40975609756097564	0.4970981057425411	530.1979485322489
5126	5109	910.0	0.13	0.1902439024390244	0.25437563441713196	600.4871744815582
5073	5132	770.0	0.07	0.10243902439024391	0.10376587803240804	209.66730976753894
5061	5073	910.0	0.15	0.2195121951219512	0.21951230853589246	15.82257387659357
5117	5133	3920.0	0.91	0.91	0.9997306304535717	2625.628845707497
5134	5135	910.0	0.4	0.5853658536585366	1.0944466119283787	776.7710831636232
5134	5136	860.0	0.173951	0.32615812499999997	0.4531540768902141	598.9808544034788
5137	5138	770.0	0.141812	0.2658975	0.7129511593281648	785.8125463378692
5125	15905	910.0	0.12	0.17560975609756097	0.18530793164218573	367.3922432471752
5139	15923	910.0	0.14	0.20487804878048782	0.23340093974640908	472.2721598677685
5123	15900	910.0	0.12	0.17560975609756097	0.17587101197077387	137.6644590468616
5140	15924	910.0	0.15	0.2195121951219512	0.267277451717955	533.1757704640204
5143	15917	1860.0	0.05	0.07317073170731707	0.0781051861182153	792.803480910868
5135	5089	910.0	0.45	0.6585365853658537	1.637617007676719	898.551088305503
5145	5144	860.0	0.31	0.58125	2.573585410352076	1057.107323387741
5142	5138	910.0	0.49	0.7170731707317073	0.8731063422786529	533.1757704640204
5146	5147	910.0	1.14	1.668292682926829	3.1262808170160823	777.8028032656739
5141	15922	910.0	0.16	0.23414634146341462	0.25397465824179605	412.6237670112279
5146	5148	910.0	0.37	0.5414634146341463	0.5932723891725054	426.5393874784725
5114	5146	1860.0	0.04	0.058536585365853655	0.09135620821770558	1409.2350292663466
5141	5139	910.0	0.14	0.20487804878048782	0.4676731644954734	863.2344751976102
5148	15921	910.0	0.15	0.2195121951219512	0.21990313286334034	144.55804584669545
5147	16380	1450.0	0.12	0.12	1.0711205517993834	2206.914316154003
5147	5134	910.0	0.107881	0.15787463414634148	1.4099447291595661	1415.8469657926628
16380	5117	1860.0	0.35	0.5121951219512194	2.9121904892375117	2508.512644672986
5138	5147	2500.0	0.108333	0.11818145454545453	0.19005607001279964	1975.788323778313
